date,senti_0,senti_1,senti_2,senti_3,senti_4
1527696000,10,26,29,27,8
1527782400,5,22,32,31,9
1527868800,8,27,27,31,8
1527955200,8,21,41,24,6
1528041600,7,23,35,27,7
1528128000,6,23,32,30,9
1528214400,7,24,31,29,9
1528300800,7,24,32,29,9
1528387200,6,21,29,33,11
1528473600,6,20,24,35,15
1528560000,6,21,31,32,10
1528646400,6,22,39,27,6
1528732800,9,25,29,28,8
1528819200,9,29,31,24,7
1528905600,9,25,30,27,8
