date,feature1,feature2,feature3,senti_0,senti_1,senti_2,senti_3,senti_4,close,change
1517846400,-10481576.68,-16.71191578,63.5298001,500,1700,2700,3900,1200,34.45,-0.01
1517932800,-10618785.18,-2.086318208,40.760849,1300,2900,2700,2300,700,34.405,-0.05
1518019200,-9578078.681,2.235832837,38.12965575,700,2800,2700,2800,1100,34.44,0.23
1518105600,-6057735.681,4.087802525,43.4149328,600,2200,4200,2300,600,34.34,-0.37
1518364800,-1739285.181,11.781549,29.71607724,700,2700,3800,2300,500,34.415,0.42
1518451200,-4685526.681,18.06761584,2.032829856,600,2200,3200,3000,1100,34.385,0.1
1518537600,-6538610.681,21.12230702,-25.01176373,700,2500,3700,2500,600,34.095,-0.35
1518624000,-3327872.181,19.85723378,-39.62096887,700,2200,3400,2800,900,34.235,0.14
1518710400,-5192364.181,13.57457209,-46.19546744,700,2400,3400,2800,700,34.35,-0.03
1519056000,-6670217.181,7.124725432,-48.59305975,900,3100,3700,1900,400,34.285,-0.25
1519142400,-5838191.181,0.179758147,-41.91955671,800,2300,3700,2600,600,34.44,0.21
1519228800,-3222653.681,-5.546108448,-30.00005337,500,2300,4600,2200,400,34.465,0.09
1519315200,817944.8188,-7.062452827,-23.15516868,800,2500,3300,2600,700,34.3,0.45
1519574400,-3896482.681,-5.640964133,-35.04777136,600,2300,3400,2800,800,34,0.18
1519660800,-11091535.68,-6.04274576,-48.32206886,400,1600,2700,4000,1300,33.65,-0.04
1519747200,-13041532.68,-11.44541504,-40.76678485,600,2500,3400,2700,900,33.575,0.05
1519833600,-12772627.18,-19.99412343,-13.44078366,800,2600,2700,2900,1000,33.57,0.06
1519920000,-10634776.68,-23.43849305,12.22930571,400,1600,2600,3900,1400,33.505,0.19
1520179200,-6936504.681,-17.87087245,18.09906213,800,2100,3000,3000,1200,33.365,-0.29
1520265600,-7445226.681,-12.53369968,16.55815137,900,2900,2900,2500,700,33.425,0.04
1520352000,-7392512.681,-9.977309925,20.85798318,600,2400,2800,3000,1200,33.57,-0.19
1520438400,-9308977.681,-8.053754741,23.82536951,600,2200,3800,2700,700,33.655,0.01
1520524800,-10582166.18,-1.088709475,9.38049839,800,2900,3600,2300,500,33.755,0.14
1520784000,-7683983.681,7.712599059,-14.91034167,300,2300,6700,600,0,33.67,0.13
1520870400,-8090213.681,7.074536333,-23.74482806,800,2700,4200,2000,400,33.515,-0.11
