date,feature1,feature2,feature3,publication_date,negative,positive,close,change
1520438400,7.413616841,13.87355193,895577.9729,1520438400,8,14,76.29,0.28
1520524800,-18.80356862,7.075946006,6006141.473,1520524800,-19,8,76.145,0.03
1520784000,-40.39301072,5.340445576,6099098.473,1520784000,-41,6,75.985,1.22
1520870400,-33.3015789,9.650527973,5324379.973,1520870400,-34,10,75.33,0.41
1520956800,-12.10027504,11.98343617,8353499.473,1520956800,-13,12,74.475,-0.33
1521043200,10.75789792,16.74108435,4465089.973,1521043200,11,17,74.435,0.11
1521129600,16.82972198,11.58415534,12939738.97,1521129600,17,12,74.55,0.59
1521388800,30.70255557,10.68313651,15806282.47,1521388800,31,11,74.18,0.02
1521475200,58.19151203,20.63423314,2803262.973,1521475200,59,21,73.86,0.56
1521561600,74.28512846,23.58158871,-1640238.527,1521561600,75,24,73.555,0
1521648000,83.36473368,16.11678677,6124498.973,1521648000,84,17,73.26,-1.09
1521734400,86.83319922,4.870603931,15930432.47,1521734400,87,5,73.835,0.19
1521993600,53.20518387,-9.626165375,24826464.97,1521993600,54,-10,74.31,-0.69
1522080000,21.34027315,-17.61924544,31076495.97,1522080000,22,-18,74.575,-0.47
1522166400,29.03729032,-15.22487793,29128678.97,1522166400,30,-16,75.19,0.27
1522252800,27.00132844,-14.08670583,23777947.47,1522252800,28,-15,75.3,-0.14
1522598400,29.31232042,-12.0656787,21785082.97,1522598400,30,-13,75.235,0.51
1522684800,40.90685435,-7.553667316,17458227.47,1522684800,41,-8,75.04,-0.42
1522771200,30.73746774,-6.114732732,10980496.97,1522771200,31,-7,74.99,0.5
1522857600,11.30506529,-4.807368639,7259518.973,1522857600,12,-5,74.945,-0.08
1522944000,10.5964057,-2.589625525,8492540.973,1522944000,11,-3,74.72,0.74
1523203200,20.05621622,-0.31746036,9373571.973,1523203200,21,-1,74.37,-0.34
1523289600,5.954322118,1.534889185,3830513.473,1523289600,6,2,74.16,0.89
1523376000,-14.89626775,1.097276217,499596.9729,1523376000,-15,2,73.87,-0.2
1523462400,-26.58559419,1.574210658,409094.9729,1523462400,-27,2,73.505,-0.31
1523548800,-35.27746046,3.758927045,-353928.5271,1523548800,-36,4,73.775,-0.79
