date,feature1,feature2,feature3,senti_0,senti_1,senti_2,senti_3,senti_4,close,change
1517932800,63.85828563,-9.844607975,19610824.37,900,2100,2800,3200,1000,46.74,0.58
1518019200,72.79978665,-6.532689789,12113798.87,1100,2900,3100,2300,600,46.52,-0.69
1518105600,77.05315197,-0.73619011,18010162.37,500,1900,3200,3300,1000,46.72,0.35
1518364800,65.36162462,8.44332452,10624257.87,700,2300,3100,2900,1000,46.905,1.11
1518451200,54.70548625,13.24355569,-4267508.127,900,2600,3300,2700,600,46.1,1.01
1518537600,39.93211667,18.11517612,-8496263.627,400,1900,3300,3300,1100,44.93,-0.03
1518624000,16.03088843,24.60785218,-6486671.627,800,3000,3500,2200,400,44.385,2.76
1518710400,-4.989303204,27.08864648,-5710073.127,900,3000,3300,2300,500,42.875,0.52
1519056000,-23.56203233,26.90568007,-4722488.627,600,2400,3800,2600,600,41.065,-0.15
1519142400,-34.10969572,23.07914612,-1696348.627,600,2200,4100,2500,600,40.865,0.11
1519228800,-31.66247795,14.30117009,-5979153.127,700,2400,3500,2600,800,40.89,0.36
1519315200,-38.37133594,11.07285328,-6722441.127,900,2400,2800,3000,800,40.63,0.31
1519574400,-52.65432285,11.41402599,-1699464.627,700,2400,3000,2900,1000,40.26,-0.14
1519660800,-56.21329801,7.69735203,7092118.373,800,2000,3200,2800,1100,40.17,0.42
1519747200,-46.92620575,0.07171027,11366556.87,500,2000,4200,2600,800,40.02,0.03
1519833600,-23.70718131,-10.7424163,7717837.873,500,2100,3900,2700,700,39.775,0.08
1519920000,-7.489678304,-15.08861999,6602542.373,900,2700,3600,2100,600,39.715,0.43
1520179200,-11.64807994,-10.52412092,3852483.373,1000,2700,3200,2500,600,39.43,-0.1
1520265600,-24.67620957,-3.690435343,6763337.373,1100,2700,3200,2200,700,39.245,-0.32
1520352000,-39.44970736,1.257089708,7251048.373,700,2400,2800,3100,1100,39.475,-0.19
1520438400,-40.68169579,-1.139489979,2425476.873,700,2300,3100,3000,1000,39.755,0.21
1520524800,-42.22739524,-2.624571002,2888462.373,900,2600,3100,2700,700,39.745,0.09
1520784000,-47.79265597,-2.345411353,4170074.873,800,2500,3200,2800,800,39.58,0.17
1520870400,-40.83118805,-6.24109787,10593078.87,600,2200,3400,2900,900,39.435,-0.04
1520956800,-30.00861649,-10.90927356,7067638.873,800,2900,3700,2100,500,39.36,0.31
1521043200,-13.90301098,-16.55730044,-2903708.127,900,2900,3700,2200,400,39.21,0.87
1521129600,9.740310992,-21.03506084,5879445.873,700,2500,3700,2500,600,38.56,0.23
1521388800,33.76468013,-23.3639292,8621455.873,600,2000,3700,3100,700,37.955,0.26
1521475200,43.76671465,-20.01165282,-1550973.627,800,2800,2900,2700,800,37.685,0.06
1521561600,40.87547113,-12.14349688,-5488859.627,1000,2700,3400,2300,600,37.505,0.28
1521648000,45.05194332,-8.055254898,-1138350.127,900,2200,2800,3200,1000,37.315,-0.02
1521734400,63.21382016,-9.025916094,6083847.373,700,2200,3600,2800,700,37.17,-0.02
1521993600,42.37941916,5.045768437,10278975.87,700,2200,3800,2700,700,37.19,0.12
1522080000,11.56197663,17.90454233,10825561.37,700,2300,2600,3400,1000,37.135,-0.14
1522166400,28.71682256,8.98550028,10157877.37,1000,2600,2800,2800,900,37.15,0.21
1522252800,27.72884075,9.924957558,13402258.87,700,2600,3500,2600,700,37.115,0
1522598400,19.46371536,14.52506044,28010741.37,1300,3200,3200,1900,400,37,0.47
1522684800,29.31255776,10.0585724,25094018.87,800,2800,3500,2300,500,36.74,0.14
1522771200,30.69200867,8.386999123,6685129.873,1000,3000,3200,2200,500,36.405,0.22
1522857600,26.59733466,9.389664658,-473374.6271,700,2400,3900,2500,500,36.21,0.29
1522944000,31.8410294,6.928388625,-1550815.627,1100,2600,2600,2800,1000,35.93,0.53
1523203200,39.75929884,4.82224449,1610003.373,800,2700,3300,2700,500,35.48,-0.32
1523289600,21.37578769,12.62585036,711302.3729,500,2100,3100,3300,1000,35.365,-0.2
1523376000,-4.70481469,19.49549674,-6222976.127,900,3100,3400,2200,400,35.65,0.67
1523462400,-23.42127594,21.17150325,-4541178.627,800,2700,2900,2800,800,35.39,-0.06
1523548800,-31.1760296,17.54982198,-2882957.627,400,2100,2900,3400,1100,35.055,0.02
1523808000,-30.97266956,10.81307229,-8345907.127,600,2300,3400,2900,800,35.08,0.16
1523894400,-40.53955285,9.397803177,-8173996.127,1000,2900,2800,2700,700,34.98,0.14
1523980800,-47.38033046,6.934878338,-6519385.627,800,2600,3100,2700,700,34.81,0.07
1524067200,-35.78181524,-1.713180183,-4422545.627,600,2300,3500,2900,700,34.69,-0.02
1524153600,-5.902819426,-13.91896304,-2049838.627,700,2100,4100,2400,700,34.66,-0.04
1524412800,32.20696746,-24.68153419,-3907660.127,500,2000,4100,2600,900,34.69,0.05
1524499200,56.96851613,-24.9906331,3884627.373,600,2200,3300,3100,800,34.685,0.01
1524585600,65.63293536,-18.29609802,5907663.373,900,3200,3100,2300,500,34.655,-0.24
1524672000,50.90814371,-4.695608698,4447843.873,800,2600,3400,2600,600,34.785,-0.08
1524758400,29.72412899,9.580263181,26515515.37,700,2400,3500,2700,700,34.965,-0.14
1525017600,38.30267256,7.39591193,24936685.87,600,2300,3200,2800,1000,35.09,-0.58
