publication_date,negative,positive
1510243200,-0.8461538461538461,2.4500769230769235
1510502400,-0.7527272727272727,3.335090909090909
1510588800,-0.7141666666666667,1.1700833333333334
1510675200,-0.9056818181818183,2.6152727272727274
1510761600,-0.6883908045977012,1.9791034482758618
1510848000,-0.9309302325581396,1.8135348837209302
1510934400,-0.6759999999999999,2.8762
1511020800,-0.64,6.851000000000001
1511107200,-0.7999999999999999,2.5338571428571433
1511193600,-0.67,2.0856666666666666
1511280000,-1.1385714285714286,1.8091428571428572
1511366400,-0.64,1.231
1511452800,-2.466,2.1426000000000003
1511539200,-0.6366666666666667,2.66
1511625600,-0.18,2.439
1511712000,-0.807,3.4059
1511798400,-0.6083333333333334,2.1635833333333334
1511884800,-0.47533333333333333,2.3136666666666668
1511971200,-1.39625,1.634125
1512057600,-0.9783333333333334,2.733333333333333
1512144000,0.0,2.3474999999999997
1512316800,-0.278125,2.71625
1512403200,-0.48833333333333334,1.3851666666666667
1512489600,-0.956,2.4934
1512576000,-0.5208333333333334,2.135666666666667
1512662400,-0.8633333333333333,1.8656666666666666
1512921600,-0.6811111111111111,2.7396666666666665
1513008000,-0.5775000000000001,2.34625
1513094400,-1.8066666666666666,2.9116666666666666
1513180800,-0.5366666666666667,2.7525
1513267200,-0.15285714285714286,2.943285714285714
1513353600,-0.7566666666666667,1.6013333333333335
1513526400,-0.43,2.0282857142857145
1513612800,-0.8780000000000001,1.3838000000000001
1513699200,-0.41600000000000004,4.6872
1513785600,-0.6166666666666667,2.536666666666667
1513872000,-0.2025,2.3515
1514044800,-0.52,2.214
1514217600,-0.304,2.0044
1514304000,0.0,4.329
1514390400,-0.6211111111111111,2.7103333333333333
1514476800,-1.582857142857143,3.407571428571429
1514649600,-1.12,2.6625
1514736000,0.0,1.367
1514822400,-0.44333333333333336,1.7487777777777778
1514908800,-0.3,2.682875
1514995200,-0.501,1.8001
1515081600,-0.8036842105263158,2.2015263157894736
1515168000,-1.775,3.5925000000000002
1515254400,-1.02,1.6503333333333332
1515340800,-0.3525,3.122
1515427200,-0.8133333333333334,2.5810000000000004
1515513600,-1.06375,2.61475
1515600000,-1.0957142857142856,1.877
1515686400,-0.14375,1.570125
1515772800,0.0,0.253
1515859200,0.0,2.7765
1515945600,-0.4342857142857143,3.3288571428571427
1516032000,-0.6681818181818181,3.425
1516118400,-0.5247058823529411,2.017235294117647
1516204800,-0.665,2.6582500000000002
1516291200,-1.0716666666666665,2.4903333333333335
1516377600,-0.44,1.1335000000000002
1516550400,-0.909,2.8813
1516636800,-0.19933333333333333,2.1586
1516723200,-0.36999999999999994,2.2350833333333333
1516809600,-0.3775,2.7159375
1516896000,-2.233333333333333,5.773333333333333
1516982400,-2.06,4.005999999999999
1517155200,-1.8844444444444446,2.9557777777777776
1517241600,-0.9875,3.7462500000000003
1517328000,-0.89,2.9036999999999997
1517414400,-0.08666666666666667,3.7310666666666665
1517500800,-0.41600000000000004,2.0473000000000003
1517587200,-0.6966666666666667,3.8476666666666666
1517760000,-0.67625,3.4501250000000003
1517846400,-0.43000000000000005,3.8445
1517932800,-0.4081818181818182,2.169090909090909
1518019200,-0.7533333333333334,3.013
1518105600,-0.7452631578947367,1.4651578947368422
1518192000,-0.724,3.13
1518278400,-1.1466666666666667,2.0500000000000003
1518364800,-0.733030303030303,2.0733939393939393
1518451200,-0.9510000000000001,3.1522
1518537600,-0.7821311475409837,1.985622950819672
1518624000,-0.6154761904761905,2.1121190476190477
1518710400,-1.3602040816326533,3.0084489795918365
1518796800,-0.31857142857142856,3.8305714285714285
1518883200,-0.84,2.637
1518969600,-0.14833333333333334,2.9766666666666666
1519056000,-0.601578947368421,1.6743157894736842
1519142400,-0.6684,2.59884
1519228800,-0.42125,2.7796875
1519315200,-0.737,3.0986000000000002
1519488000,-0.7866666666666667,3.5331666666666663
1519574400,-0.9665384615384615,2.460692307692308
1519660800,-0.35083333333333333,3.143333333333334
1519747200,-0.33384615384615385,2.569846153846154
1519833600,-0.7907692307692309,3.5490769230769237
1519920000,-1.3699999999999999,4.712285714285714
1520006400,-0.64,1.7159999999999995
1520092800,-0.29,4.930666666666667
1520179200,-0.7384210526315789,2.123
1520265600,-0.7641176470588236,2.623
1520352000,-0.3222222222222222,3.4290000000000003
1520438400,-0.2804166666666667,3.013375
1520524800,-1.1044444444444443,2.8914444444444443
1520611200,0.0,8.206
1520784000,0.0,0.0
1520870400,-0.44250000000000006,2.349375
1520956800,-0.9021052631578947,3.528842105263158
1521043200,-0.286,2.7134
1521129600,-0.782,1.5239333333333331
1521216000,0.0,0.0
1521388800,-0.716,2.3144
1521475200,-0.5657142857142857,2.9235714285714285
1521561600,-0.8183333333333334,3.079
1521648000,-0.953,2.9929
1521734400,-0.33999999999999997,1.2437272727272726
1521820800,-0.5066666666666667,2.9326666666666665
1521907200,-0.64,5.075999999999999
1521993600,-0.8576923076923078,3.300846153846154
1522080000,-0.5791666666666667,2.266458333333333
1522166400,-0.8225,2.8497500000000002
1522252800,-0.6,3.737142857142857
1522339200,-1.502857142857143,3.2495714285714286
1522512000,0.0,0.249
1522598400,-1.0475,4.12025
1522684800,-0.8613333333333333,3.684066666666667
1522771200,-0.16,2.6092500000000003
1522857600,-0.21818181818181817,2.533272727272727
1522944000,-0.6885714285714286,3.5800000000000005
1523030400,-2.0775000000000006,2.3735
1523203200,-0.8183333333333334,3.79975
1523289600,-0.46749999999999997,2.665375
1523376000,-1.58125,3.340875
1523462400,-0.7646153846153847,2.8743846153846153
1523548800,-0.5810000000000001,3.0081999999999995
1523635200,-0.2025,4.089
1523808000,-0.8647058823529412,2.057294117647059
1523894400,-0.516,2.4467333333333334
1523980800,-0.8250000000000001,2.7961666666666667
1524067200,-0.8585714285714285,3.033714285714286
1524153600,-1.1133333333333333,3.6258888888888894
1524412800,-0.9633333333333333,3.1636666666666664
1524499200,-0.538,2.936
1524585600,0.0,0.967
1524672000,-0.7833333333333333,3.696
1524758400,-0.348,3.6955
1524844800,-0.74,3.336
1525017600,-0.1775,4.293
1525104000,-0.8638888888888889,3.280111111111111
1525190400,-0.506,3.7211999999999996
1525276800,-1.369,2.0274
1525363200,-0.24666666666666667,1.0811666666666666
1525449600,0.0,2.535
1525536000,-1.51,6.432000000000001
1525622400,-0.6136363636363636,3.4157272727272727
1525708800,-0.4175,3.6315833333333334
1525795200,-0.46166666666666667,2.2946666666666666
1525881600,-1.71625,2.75225
1525968000,-1.3733333333333335,3.6111999999999997
1526054400,-0.82,6.503999999999999
1526140800,0.0,1.845
1526227200,-0.959047619047619,2.9195714285714285
1526313600,-0.912,3.2652666666666668
1526400000,-1.1404285714285713,3.077757142857143
1526486400,-1.335757575757576,2.44469696969697
1526572800,-1.1229411764705883,2.5541176470588236
1526659200,0.0,0.0
1526832000,0.0,2.7023333333333333
1526918400,-1.2108333333333334,2.349083333333333
1527004800,-1.554,3.2067200000000002
1527091200,-1.5722222222222222,2.2894444444444444
1527177600,-2.315,2.4715000000000003
1527264000,-0.46,2.0675
1527436800,-0.9433333333333334,4.421333333333333
1527523200,-0.5449999999999999,2.4495
1527609600,-0.9665000000000001,3.3236499999999998
1527696000,-0.7955555555555556,2.542777777777778
1527782400,-1.1041666666666667,3.2143333333333337
1527868800,-2.6699999999999995,5.327000000000001
1527955200,-1.92,2.879
1528041600,-0.5608333333333334,3.58225
1528128000,-0.7833333333333333,4.1547777777777775
1528214400,-0.885,2.721
1528300800,-1.0066666666666666,4.470166666666667
1528387200,-0.404,2.622
1528560000,-1.3066666666666666,1.7216666666666667
1528646400,-0.8250000000000001,3.18275
1528732800,-0.6264285714285714,2.3160714285714286
1528819200,-0.3725,3.4448333333333334
1528905600,-0.5133333333333333,5.078666666666667
